species,common_name,taxon_id,year,onset_doy,species_median_doy,anomaly_days,zscore
Acer macrophyllum,bigleaf maple,48227,2017,104.6,101.6,3.0,0.461
Acer macrophyllum,bigleaf maple,48227,2018,93.2,101.6,-8.4,-1.29
Acer macrophyllum,bigleaf maple,48227,2019,101.6,101.6,0.0,0.0
Acer macrophyllum,bigleaf maple,48227,2020,105.4,101.6,3.8,0.584
Acer macrophyllum,bigleaf maple,48227,2021,105.8,101.6,4.2,0.645
Acer macrophyllum,bigleaf maple,48227,2022,96.0,101.6,-5.6,-0.86
Acer macrophyllum,bigleaf maple,48227,2023,111.0,101.6,9.4,1.444
Acer macrophyllum,bigleaf maple,48227,2024,93.4,101.6,-8.2,-1.26
Acer macrophyllum,bigleaf maple,48227,2025,94.6,101.6,-7.0,-1.075
Achlys triphylla,vanilla leaf,75263,2017,130.8,132.0,-1.2,-0.175
Achlys triphylla,vanilla leaf,75263,2018,134.8,132.0,2.8,0.407
Achlys triphylla,vanilla leaf,75263,2019,120.0,132.0,-12.0,-1.746
Achlys triphylla,vanilla leaf,75263,2020,132.0,132.0,0.0,0.0
Achlys triphylla,vanilla leaf,75263,2021,124.0,132.0,-8.0,-1.164
Achlys triphylla,vanilla leaf,75263,2022,121.4,132.0,-10.6,-1.542
Achlys triphylla,vanilla leaf,75263,2023,136.8,132.0,4.8,0.698
Achlys triphylla,vanilla leaf,75263,2024,136.6,132.0,4.6,0.669
Achlys triphylla,vanilla leaf,75263,2025,137.2,132.0,5.2,0.757
Alnus rubra,Red Alder,56034,2020,93.0,65.2,27.8,1.592
Alnus rubra,Red Alder,56034,2022,65.2,65.2,0.0,0.0
Alnus rubra,Red Alder,56034,2023,62.4,65.2,-2.8,-0.16
Alnus rubra,Red Alder,56034,2024,87.0,65.2,21.8,1.248
Alnus rubra,Red Alder,56034,2025,51.6,65.2,-13.6,-0.779
Amelanchier alnifolia,Saskatoon,75415,2017,119.8,114.0,5.8,1.348
Amelanchier alnifolia,Saskatoon,75415,2018,112.2,114.0,-1.8,-0.418
Amelanchier alnifolia,Saskatoon,75415,2019,110.0,114.0,-4.0,-0.93
Amelanchier alnifolia,Saskatoon,75415,2020,112.0,114.0,-2.0,-0.465
Amelanchier alnifolia,Saskatoon,75415,2021,107.8,114.0,-6.2,-1.441
Amelanchier alnifolia,Saskatoon,75415,2022,115.4,114.0,1.4,0.325
Amelanchier alnifolia,Saskatoon,75415,2023,120.0,114.0,6.0,1.394
Amelanchier alnifolia,Saskatoon,75415,2024,118.0,114.0,4.0,0.93
Amelanchier alnifolia,Saskatoon,75415,2025,114.0,114.0,0.0,0.0
Asarum caudatum,Western Wild Ginger,52858,2017,128.0,128.0,0.0,0.0
Asarum caudatum,Western Wild Ginger,52858,2018,161.4,128.0,33.4,1.934
Asarum caudatum,Western Wild Ginger,52858,2019,153.4,128.0,25.4,1.471
Asarum caudatum,Western Wild Ginger,52858,2020,113.0,128.0,-15.0,-0.869
Asarum caudatum,Western Wild Ginger,52858,2021,111.0,128.0,-17.0,-0.985
Asarum caudatum,Western Wild Ginger,52858,2022,122.0,128.0,-6.0,-0.347
Asarum caudatum,Western Wild Ginger,52858,2023,143.4,128.0,15.4,0.892
Asarum caudatum,Western Wild Ginger,52858,2024,128.0,128.0,0.0,0.0
Asarum caudatum,Western Wild Ginger,52858,2025,133.6,128.0,5.6,0.324
